,MW
20190101,2557
20190102,1899
20190103,1891
20190104,1811
20190105,1903
20190106,2333
20190107,1800
20190108,1843
20190109,1954
20190110,1847
20190111,1884
20190112,2497
20190113,2398
20190114,1745
20190115,1844
20190116,1849
20190117,1933
20190118,1935
20190119,1954
20190120,2599
20190121,1915
20190122,1921
20190123,1938
20190124,1872
20190125,1906
20190126,2535
20190127,2092
20190128,1806
20190129,1832
20190130,1810
20190131,1890
20190201,2148
20190202,2241
20190203,2038
20190204,2563
20190205,2333
20190206,2322
20190207,2107
20190208,3115
20190209,3136
20190210,3023
20190211,2275
20190212,1860
20190213,1915
20190214,1943
20190215,1959
20190216,2426
20190217,2673
20190218,1762
20190219,1891
20190220,1838
20190221,1813
20190222,1870
20190223,1729
20190224,1770
20190225,1754
20190226,1818
20190227,1903
20190228,2430
20190301,2371
20190302,1833
20190303,2224
20190304,1895
20190305,1954
20190306,1922
20190307,1868
20190308,1816
20190309,2191
20190310,1823
20190311,1794
20190312,1879
20190313,1923
20190314,1780
20190315,1928
20190316,2518
20190317,2290
20190318,1755
20190319,1805
20190320,1844
20190321,1967
20190322,2341
20190323,2084
20190324,1859
20190325,1853
20190326,1887
20190327,1933
20190328,1892
20190329,2055
20190330,2155
20190331,2297
20190401,193
20190402,191.5
20190403,190.5
20190404,234
20190405,187.2
20190406,168.3
20190407,177.8
20190408,196.9
20190409,196.4
20190410,215.4
20190411,207.9
20190412,201.8
20190413,176
20190414,252.8
20190415,198.6
20190416,187.7
20190417,205
20190418,200.3
20190419,192
20190420,187.7
20190421,229.8
20190422,199.3
20190423,202.6
20190424,200.3
20190425,229
20190426,225.2
20190427,199.3
20190428,174
20190429,221.1
20190430,221
20190501,3093
20190502,2683
20190503,3316
20190504,3119
20190505,2255
20190506,2404
20190507,2609
20190508,2140
20190509,2212
20190510,2608
20190511,2837
20190512,2709
20190513,2311
20190514,2131
20190515,2253
20190516,2432
20190517,2546
20190518,2591
20190519,2127
20190520,3347
20190521,3887
20190522,4554
20190523,4712
20190524,3575
20190525,3984
20190526,3789
20190527,2706
20190528,3169
20190529,5905
20190530,4367
20190531,4515
20190601,4042
20190602,3632
20190603,4540
20190604,4546
20190605,4029
20190606,3785
20190607,4702
20190608,3310
20190609,4082
20190610,4147
20190611,4215
20190612,5418
20190613,3593
20190614,4895
20190615,5436
20190616,4962
20190617,3765
20190618,3257
20190619,3657
20190620,3703
20190621,4080
20190622,4190
20190623,4744
20190624,5416
20190625,3514
20190626,4112
20190627,4175
20190628,3567
20190629,3602
20190630,3439
20190701,3634
20190702,4883
20190703,4753
20190704,4895
20190705,5714
20190706,4435
20190707,4313
20190708,4455
20190709,4166
20190710,3897
20190711,4155
20190712,4332
20190713,5138
20190714,3257
20190715,3637
20190716,3224
20190717,3770
20190718,4080
20190719,4510
20190720,6218
20190721,5390
20190722,5758
20190723,4766
20190724,5038
20190725,4636
20190726,3897
20190727,5346
20190728,5714
20190729,4924
20190730,4067
20190731,3729
20190801,4042
20190802,5035
20190803,5875
20190804,3818
20190805,3928
20190806,4771
20190807,4719
20190808,4317
20190809,6977
20190810,4571
20190811,4187
20190812,5793
20190813,4752
20190814,4064
20190815,6355
20190816,6048
20190817,6655
20190818,6143
20190819,6376
20190820,6269
20190821,6430
20190822,4824
20190823,4868
20190824,6973
20190825,5462
20190826,5354
20190827,4692
20190828,4094
20190829,4056
20190830,5615
20190831,4767
20190901,4982
20190902,4606
20190903,4581
20190904,5419
20190905,5876
20190906,5085
20190907,4894
20190908,4192
20190909,4961
20190910,4148
20190911,4575
20190912,4625
20190913,4824
20190914,4394
20190915,5387
20190916,6025
20190917,5975
20190918,6042
20190919,6893
20190920,6345
20190921,5612
20190922,5421
20190923,6619
20190924,6616
20190925,5679
20190926,5659
20190927,6244
20190928,4852
20190929,4315
20190930,7657
20191001,4532
20191002,4077
20191003,3807
20191004,4421
20191005,4561
20191006,3789
20191007,3702
20191008,4351
20191009,4701
20191010,4405
20191011,4490
20191012,4742
20191013,5432
20191014,5091
20191015,5085
20191016,3984
20191017,4582
20191018,4810
20191019,4788
20191020,4420
20191021,4274
20191022,3803
20191023,3779
20191024,3829
20191025,4120
20191026,3101
20191027,2762
20191028,4053
20191029,4616
20191030,3666
20191031,3639
20191101,3930
20191102,3378
20191103,3420
20191104,3455
20191105,3769
20191106,3344
20191107,3752
20191108,4741
20191109,3709
20191110,3032
20191111,3607
20191112,3592
20191113,3300
20191114,3823
20191115,3150
20191116,3200
20191117,2590
20191118,3037
20191119,3337
20191120,3347
20191121,2996
20191122,2970
20191123,2695
20191124,3190
20191125,2969
20191126,3312
20191127,3565
20191128,3418
20191129,3392
20191130,3004
20191201,3425
20191202,3462
20191203,3150
20191204,3053
20191205,3022
20191206,3414
20191207,2901
20191208,2956
20191209,3205
20191210,3146
20191211,3202
20191212,2998
20191213,3154
